epoch,train_loss,train_acc,ce_loss,orth_loss,val_loss,val_acc,lr
1,1.5253817464551356,43.260327635327634,1.5253817464551356,0.0,1.4233949974060058,48.72,0.001
2,1.1711042953013016,57.808048433048434,1.1711042953013016,0.0,1.0993101682662965,60.74,0.001
3,1.0292260166247007,63.2678952991453,1.0292260166247007,0.0,1.3856498649597169,54.3,0.001
4,0.9422736023565983,66.50195868945869,0.9422736023565983,0.0,1.1424572803497315,61.54,0.001
5,0.8685377814151622,69.08386752136752,0.8685377814151622,0.0,1.0669944343566895,62.48,0.001
6,0.8115378341443857,71.49661680911682,0.8115378341443857,0.0,0.8424759607315063,70.02,0.001
7,0.7593290347319382,73.05021367521367,0.7593290347319382,0.0,0.8778413119316101,69.12,0.001
8,0.7133867714309964,74.94212962962963,0.7133867714309964,0.0,0.9163016632080078,69.26,0.001
9,0.6792317480273397,76.41782407407408,0.6792317480273397,0.0,1.0954855401992798,64.76,0.001
10,0.6459850318241663,77.53739316239316,0.6459850318241663,0.0,0.7604801434516907,74.22,0.001
11,0.6209185575148319,78.48335113960114,0.6209185575148319,0.0,0.7146198234558105,75.48,0.001
12,0.5916375983134974,79.33582621082621,0.5916375983134974,0.0,0.6207043731212616,78.6,0.001
13,0.5665245694652242,80.43981481481481,0.5665245694652242,0.0,0.705345361661911,76.42,0.001
14,0.5543411335883996,80.90722934472934,0.5543411335883996,0.0,0.7755416288375855,74.48,0.001
15,0.5390742883892821,81.19658119658119,0.5390742883892821,0.0,0.7831613693237305,73.36,0.001
16,0.5127484161629636,82.10692663817663,0.5127484161629636,0.0,0.619602147769928,78.66,0.001
17,0.49843209650781417,82.87037037037037,0.49843209650781417,0.0,0.5369637323379517,81.58,0.001
18,0.47923317186513176,83.54923433048432,0.47923317186513176,0.0,0.723118942785263,76.64,0.001
19,0.4676513848481355,83.81187678062678,0.4676513848481355,0.0,0.6049712381362915,79.6,0.001
20,0.4581122517246127,84.30377492877493,0.4581122517246127,0.0,0.542067005443573,81.18,0.001
21,0.4383825104460757,84.87580128205128,0.4383825104460757,0.0,0.6210753885746002,80.0,0.001
22,0.4375968436230282,84.87134971509971,0.4375968436230282,0.0,0.6538169559478759,78.14,0.001
23,0.4227720246865199,85.40108618233619,0.4227720246865199,0.0,0.6108737878799438,80.78,0.0005
24,0.35171018256421105,87.92957621082621,0.35171018256421105,0.0,0.4868547730922699,83.4,0.0005
25,0.3335200230620186,88.47266737891738,0.3335200230620186,0.0,0.4502365717172623,84.92,0.0005
26,0.32301416271432515,88.77537393162393,0.32301416271432515,0.0,0.49329110412597654,83.66,0.0005
27,0.3165173432511142,89.17378917378917,0.3165173432511142,0.0,0.6387935379981995,80.4,0.0005
28,0.308919341730596,89.47649572649573,0.308919341730596,0.0,0.45923787732124327,85.28,0.0005
29,0.29801949756777185,89.75471866096866,0.29801949756777185,0.0,0.5206251995325089,83.14,0.0005
30,0.2971471141800921,89.8036858974359,0.2971471141800921,0.0,0.54238831615448,83.02,0.0005
31,0.28956825025061256,90.0307158119658,0.28956825025061256,0.0,0.6106614825010299,81.26,0.00025
32,0.244892538718858,91.65998931623932,0.244892538718858,0.0,0.43122669143676756,86.68,0.00025
33,0.235472236645867,91.95156695156695,0.235472236645867,0.0,0.42021703732013704,86.34,0.00025
34,0.22404099966895547,92.3344017094017,0.22404099966895547,0.0,0.43047798589468,86.62,0.00025
35,0.22091490000571282,92.53249643874643,0.22091490000571282,0.0,0.4152060421705246,86.4,0.00025
36,0.21525747545509258,92.63710826210826,0.21525747545509258,0.0,0.4173463613986969,86.76,0.00025
37,0.2098938570785047,92.85746082621083,0.2098938570785047,0.0,0.4307943557739258,86.4,0.00025
38,0.2043985378665802,92.90642806267806,0.2043985378665802,0.0,0.47912859439849853,85.38,0.00025
39,0.20402518073972473,93.02216880341881,0.20402518073972473,0.0,0.4544765734672546,86.02,0.00025
40,0.1983524633099211,93.18687678062678,0.1983524633099211,0.0,0.4331891844749451,86.52,0.00025
41,0.194231367688573,93.32264957264957,0.194231367688573,0.0,0.4319427155733109,86.9,0.000125
42,0.17147835944792483,94.11725427350427,0.17147835944792483,0.0,0.3931428788661957,87.84,0.000125
43,0.16334400236861318,94.51344373219374,0.16334400236861318,0.0,0.42144504899978635,87.34,0.000125
44,0.15939949612077484,94.73157051282051,0.15939949612077484,0.0,0.40960590012073517,87.96,0.000125
45,0.15901470001776333,94.54905626780626,0.15901470001776333,0.0,0.4107394120812416,87.44,0.000125
46,0.1511126289998534,94.84285968660969,0.1511126289998534,0.0,0.43707849239110946,86.64,0.000125
47,0.15424964122707688,94.75605413105413,0.15424964122707688,0.0,0.42462804846763613,87.38,0.000125
48,0.1498072127946931,94.90963319088318,0.1498072127946931,0.0,0.42467481781244276,87.28,6.25e-05
49,0.13919545951010157,95.36814458689459,0.13919545951010157,0.0,0.40843390018939973,87.86,6.25e-05
50,0.1349649713653275,95.39930555555556,0.1349649713653275,0.0,0.4108386095404625,87.78,6.25e-05
51,0.13296359314707948,95.51727207977208,0.13296359314707948,0.0,0.41081133229732514,87.58,6.25e-05
52,0.13143216348399125,95.50836894586895,0.13143216348399125,0.0,0.41319353442192075,87.88,6.25e-05
53,0.130525500792214,95.64636752136752,0.130525500792214,0.0,0.4225284115552902,87.74,6.25e-05
54,0.12986071860985537,95.6485933048433,0.12986071860985537,0.0,0.41994678679704667,87.7,3.125e-05
55,0.12238803794050318,95.9179131054131,0.12238803794050318,0.0,0.408781975030899,88.08,3.125e-05
56,0.11866003351333813,96.15384615384616,0.11866003351333813,0.0,0.4091228838920593,88.18,3.125e-05
57,0.12109411455839447,96.08484686609687,0.12109411455839447,0.0,0.41842577106952666,87.96,3.125e-05
58,0.11884925664108023,96.0536858974359,0.11884925664108023,0.0,0.4127091109752655,88.1,3.125e-05
59,0.11891624284775508,96.03365384615384,0.11891624284775508,0.0,0.41729180817604067,87.96,3.125e-05
60,0.11795347576637213,96.05591168091168,0.11795347576637213,0.0,0.4168281514406204,88.12,1.5625e-05
61,0.1164735100653946,96.12936253561253,0.1164735100653946,0.0,0.4172901345968246,87.9,1.5625e-05
62,0.11489763165004233,96.13603988603988,0.11489763165004233,0.0,0.41639792115688323,88.12,1.5625e-05
63,0.11432100268892753,96.2695868945869,0.11432100268892753,0.0,0.4122327399492264,87.9,1.5625e-05
64,0.11148965842703469,96.34526353276354,0.11148965842703469,0.0,0.4172291339993477,88.02,1.5625e-05
65,0.11356730625415459,96.25178062678063,0.11356730625415459,0.0,0.41348808722496033,88.04,1.5625e-05
66,0.11227792979050906,96.30297364672364,0.11227792979050906,0.0,0.4144490430831909,87.78,7.8125e-06
67,0.11401536866513073,96.25845797720798,0.11401536866513073,0.0,0.4160015069961548,87.94,7.8125e-06
68,0.1093775101239525,96.34748931623932,0.1093775101239525,0.0,0.417894295501709,87.94,7.8125e-06
69,0.11139812728023937,96.38310185185185,0.11139812728023937,0.0,0.4149322763204575,88.0,7.8125e-06
70,0.10838585193043421,96.4699074074074,0.10838585193043421,0.0,0.4126088636636734,88.06,7.8125e-06
71,0.10737693125111425,96.58342236467236,0.10737693125111425,0.0,0.4143142628192902,88.28,7.8125e-06
72,0.10806830965003736,96.46323005698005,0.10806830965003736,0.0,0.41645056483745574,88.0,3.90625e-06
73,0.10724959826027905,96.48103632478633,0.10724959826027905,0.0,0.41632779462337494,88.16,3.90625e-06
74,0.10633038131896927,96.50329415954415,0.10633038131896927,0.0,0.41706599435806274,88.2,3.90625e-06
75,0.10777758852581353,96.44987535612536,0.10777758852581353,0.0,0.41649354202747346,88.12,3.90625e-06
76,0.10834778452615793,96.47213319088318,0.10834778452615793,0.0,0.4162417102575302,88.2,3.90625e-06
77,0.10837174031851637,96.47213319088318,0.10837174031851637,0.0,0.4150208087921143,87.76,3.90625e-06
78,0.10618169780852449,96.56784188034187,0.10618169780852449,0.0,0.4167087521791458,88.08,1.953125e-06
79,0.10941131602962133,96.2406517094017,0.10941131602962133,0.0,0.41544737803936005,88.08,1.953125e-06
80,0.10885101449582991,96.44097222222223,0.10885101449582991,0.0,0.4146818044900894,88.24,1.953125e-06
