epoch,train_loss,train_acc,ce_loss,orth_loss,coop_loss,aux_loss,val_loss,val_acc,lr
1,4.895820674733219,23.12366452991453,2.0437990837966615,86.02496555150404,0.0,6.639239559825669,1.9150356159210205,28.86,0.001
2,3.7051082540441445,32.27163461538461,1.759114723939162,6.349861996126311,0.0,6.274982789303163,1.6798653995513917,35.5,0.001
3,3.4284540506509633,40.71403133903134,1.5605431428322425,6.745187570226838,0.0,6.001529885153485,1.4391031286239624,45.52,0.001
4,3.1284308433532715,49.78187321937322,1.3537012471093073,6.734976481847953,0.0,5.691265846589352,1.3614612800598145,51.16,0.001
5,2.895333645350573,56.626157407407405,1.1925188080537692,7.330821489676451,0.0,5.431688535587061,1.2694391416549682,55.66,0.001
6,2.7477833735637174,60.90856481481482,1.0890990482096659,8.556917231986326,0.0,5.2437169273354725,1.461662663269043,51.4,0.001
7,2.600110644288892,64.06695156695157,1.0035765875778306,7.723178914469531,0.0,5.064340693318946,1.3457694591522216,54.54,0.001
8,2.4912639526899722,66.8514066951567,0.9321232519598088,8.057591829544458,0.0,4.92854909951191,0.9190550107955933,67.88,0.001
9,2.3781294136645106,69.56463675213675,0.8680327461655662,7.165493092305979,0.0,4.794805642206784,0.9034337969779969,68.14,0.001
10,2.292744697328986,71.27626424501425,0.8192037503603856,6.950188499570232,0.0,4.68013009182748,1.0704212427139281,63.58,0.001
11,2.1995715368167628,73.39298433048432,0.7662927214576308,6.637386411003917,0.0,4.556349695917548,0.8165375898361206,72.28,0.001
12,2.1442853419529406,74.60381054131054,0.7312050595072939,7.012054378150875,0.0,4.4765322962377825,0.7619689764976502,74.2,0.001
13,2.0965967297214387,75.8613782051282,0.7018255836773463,6.741507951350633,0.0,4.424520087717605,0.8549298397064209,71.72,0.001
14,2.0252525568687676,77.06330128205128,0.6695098233358813,6.462833280916567,0.0,4.303714543665916,0.754962211227417,74.6,0.001
15,1.967311645165468,77.88461538461539,0.6459502875804901,6.488940654656826,0.0,4.188239672245124,0.8093865077972412,73.66,0.001
16,1.9068376481363236,78.56570512820512,0.6214363653945107,6.225912949298522,0.0,4.077140357080008,0.6902137229919434,76.42,0.001
