epoch,train_loss,train_acc,ce_loss,orth_loss,val_loss,val_acc,lr
1,1.509984121363387,45.361467236467234,1.509984121363387,0.0,1.2485836193084716,54.08,0.001
2,1.1428874970501304,59.326032763532766,1.1428874970501304,0.0,1.1721512966156007,56.72,0.001
3,0.9764500532055173,65.36235754985755,0.9764500532055173,0.0,1.1810557565689086,60.12,0.001
4,0.8795304818031116,69.1662215099715,0.8795304818031116,0.0,1.0180529586791993,63.28,0.001
5,0.8146779907395018,71.65242165242165,0.8146779907395018,0.0,1.1909094467163086,59.56,0.001
6,0.7573275204397675,73.71127136752136,0.7573275204397675,0.0,0.7978320739746094,72.52,0.001
7,0.7156591565690489,75.12686965811966,0.7156591565690489,0.0,1.1493214162826537,63.14,0.001
8,0.6759018335077498,76.40446937321937,0.6759018335077498,0.0,1.266712710762024,60.04,0.001
9,0.6478503959471005,77.48397435897436,0.6478503959471005,0.0,1.0150728729248046,68.18,0.001
10,0.6210096808750065,78.39654558404558,0.6210096808750065,0.0,0.7830710741043091,74.62,0.001
11,0.5971613144263243,79.24679487179488,0.5971613144263243,0.0,0.7706446347236633,74.58,0.001
12,0.5756523936052947,80.04807692307692,0.5756523936052947,0.0,0.7741313789367675,74.02,0.001
13,0.5580537656263748,80.83155270655271,0.5580537656263748,0.0,0.8953917861938476,72.86,0.001
14,0.5363776520786122,81.59054487179488,0.5363776520786122,0.0,0.9383201675415039,71.44,0.001
15,0.5183720299151549,82.05350783475784,0.5183720299151549,0.0,0.7058116870880127,76.22,0.001
16,0.5093915068525874,82.41408475783476,0.5093915068525874,0.0,0.704628715133667,77.24,0.001
17,0.49638509436210676,82.86814458689459,0.49638509436210676,0.0,0.8323325469970703,73.66,0.001
18,0.4853136952106769,83.29994658119658,0.4853136952106769,0.0,0.7572321555137634,76.54,0.001
19,0.4679591464690673,83.92094017094017,0.4679591464690673,0.0,0.7019098753929138,77.14,0.001
20,0.4619834828920174,84.09009971509971,0.4619834828920174,0.0,0.7420531490325928,76.42,0.001
21,0.44716653932533373,84.49296652421653,0.44716653932533373,0.0,0.7435654175758362,75.92,0.001
22,0.43439766679733904,84.98263888888889,0.43439766679733904,0.0,0.7318249606609345,76.74,0.001
23,0.4300147978498725,85.17405626780626,0.4300147978498725,0.0,0.8956494035720826,72.42,0.001
24,0.41652139380277053,85.56801994301995,0.41652139380277053,0.0,0.7835937133789063,75.8,0.001
25,0.406250860191818,85.90633903133903,0.406250860191818,0.0,0.7650978845596313,76.76,0.0005
26,0.34950580687774213,87.85389957264957,0.34950580687774213,0.0,0.5114625371456146,83.14,0.0005
27,0.3343327560401031,88.54166666666667,0.3343327560401031,0.0,0.4698142337799072,84.5,0.0005
28,0.3294512366722112,88.66185897435898,0.3294512366722112,0.0,0.5276692603111267,82.72,0.0005
29,0.3250898517604567,89.0491452991453,0.3250898517604567,0.0,0.4928621648788452,83.8,0.0005
30,0.32019676149231074,89.08698361823362,0.32019676149231074,0.0,0.4964626750946045,83.88,0.0005
31,0.3141435881031205,89.2917556980057,0.3141435881031205,0.0,0.512225824546814,83.0,0.0005
32,0.30493306464109665,89.59001068376068,0.30493306464109665,0.0,0.5051143814086914,83.58,0.0005
33,0.30045499455215585,89.6946225071225,0.30045499455215585,0.0,0.528441644859314,83.34,0.00025
34,0.26524388798621307,91.19925213675214,0.26524388798621307,0.0,0.4736265003204346,85.38,0.00025
35,0.25605803840605285,91.3928952991453,0.25605803840605285,0.0,0.46806524868011473,85.0,0.00025
36,0.25161673752670616,91.59766737891738,0.25161673752670616,0.0,0.4722304042816162,84.72,0.00025
37,0.24673837032752838,91.70450498575498,0.24673837032752838,0.0,0.47372476959228516,84.78,0.00025
38,0.2453626846825635,91.7156339031339,0.2453626846825635,0.0,0.47781858901977536,84.68,0.00025
39,0.24084005534563988,91.78685897435898,0.24084005534563988,0.0,0.4873813545227051,84.38,0.00025
40,0.23660500653279135,92.00498575498575,0.23660500653279135,0.0,0.4765364449501038,84.98,0.00025
41,0.23455930889671683,92.11627492877493,0.23455930889671683,0.0,0.46227172899246216,85.66,0.00025
42,0.23331304302072933,92.02056623931624,0.23331304302072933,0.0,0.4836419692993164,84.68,0.00025
43,0.230332861619967,92.19640313390313,0.230332861619967,0.0,0.5408361824989318,83.62,0.00025
