epoch,train_loss,train_acc,ce_loss,orth_loss,val_loss,val_acc,lr
1,1.5180870413440586,43.82122507122507,1.5180870413440586,0.0,1.2566624612808228,55.6,0.001
2,1.1608093316398795,58.38230056980057,1.1608093316398795,0.0,1.5607237377166747,47.86,0.001
3,1.002962244032455,64.36743233618233,1.002962244032455,0.0,1.1297945919036865,61.2,0.001
4,0.9146795731324416,67.71723646723646,0.9146795731324416,0.0,1.1580736145019532,61.38,0.001
5,0.8377034025654154,70.66417378917379,0.8377034025654154,0.0,1.0675726804733277,63.82,0.001
6,0.7750070553559524,72.76976495726495,0.7750070553559524,0.0,0.8262311529159546,69.94,0.001
7,0.7316764883505993,74.53258547008546,0.7316764883505993,0.0,0.8913037666320801,69.86,0.001
8,0.6953674058119456,75.7946047008547,0.6953674058119456,0.0,1.101104232788086,63.08,0.001
9,0.65852131352805,77.06552706552706,0.65852131352805,0.0,0.7369398696899414,74.26,0.001
10,0.6279867733815456,78.36315883190883,0.6279867733815456,0.0,0.8003828678131103,72.2,0.001
11,0.6045219798882803,79.25347222222223,0.6045219798882803,0.0,0.9375742467880249,69.74,0.001
12,0.5755996132678116,80.17049501424502,0.5755996132678116,0.0,0.9693075714111328,69.2,0.001
13,0.5657814544150632,80.62010327635328,0.5657814544150632,0.0,0.5968711637496948,79.0,0.001
14,0.5371645779011935,81.6662215099715,0.5371645779011935,0.0,0.7559841213226318,74.26,0.001
15,0.5168374008432752,82.34731125356126,0.5168374008432752,0.0,0.7822756397247315,74.24,0.001
16,0.5054188790993813,82.5298254985755,0.5054188790993813,0.0,0.7426438465118408,75.56,0.001
17,0.4888985373525538,83.2175925925926,0.4888985373525538,0.0,0.6521879004478455,78.64,0.001
18,0.47986143241580737,83.40233262108262,0.47986143241580737,0.0,0.5849688195228576,80.48,0.001
19,0.46227212908261184,83.95210113960114,0.46227212908261184,0.0,0.6631865886688233,77.32,0.001
20,0.4499302375265676,84.50854700854701,0.4499302375265676,0.0,0.5221849076271057,81.7,0.001
21,0.43656790260745587,84.99376780626781,0.43656790260745587,0.0,0.6036654170036316,79.32,0.001
22,0.42157233321768606,85.59250356125357,0.42157233321768606,0.0,0.7846623081207276,75.28,0.001
23,0.4164735745755356,85.59472934472934,0.4164735745755356,0.0,0.5887356001853943,80.26,0.001
24,0.4038494552387471,86.12891737891738,0.4038494552387471,0.0,0.7013247858047486,78.12,0.001
25,0.392237330858524,86.41159188034187,0.392237330858524,0.0,0.5377885782241821,81.9,0.001
26,0.38472503682656845,86.70984686609687,0.38472503682656845,0.0,0.7628154318809509,76.3,0.0005
27,0.31672937794458494,89.11591880341881,0.31672937794458494,0.0,0.47565640926361086,84.62,0.0005
28,0.29545839016254133,89.85042735042735,0.29545839016254133,0.0,0.476636881685257,84.3,0.0005
29,0.2881820628530959,90.1664886039886,0.2881820628530959,0.0,0.45850467032194137,84.76,0.0005
30,0.2799517031536143,90.42690527065527,0.2799517031536143,0.0,0.46057341113090516,84.4,0.0005
31,0.27549525498919336,90.61387108262109,0.27549525498919336,0.0,0.4214450978279114,86.06,0.0005
32,0.2680623175369369,90.71625712250712,0.2680623175369369,0.0,0.4373006184101105,85.46,0.0005
33,0.262325875270061,91.11689814814815,0.262325875270061,0.0,0.4910617792129517,84.26,0.0005
34,0.2522000398943227,91.40402421652422,0.2522000398943227,0.0,0.5817387228488922,82.68,0.0005
35,0.25278259264013364,91.29050925925925,0.25278259264013364,0.0,0.4911150067329407,84.34,0.0005
36,0.2454014688178345,91.46857193732194,0.2454014688178345,0.0,0.6148804138660431,81.2,0.0005
37,0.2410720961640703,91.59989316239316,0.2410720961640703,0.0,0.4701299645423889,84.68,0.00025
38,0.19726398559632125,93.30039173789174,0.19726398559632125,0.0,0.41377504138946536,87.04,0.00025
39,0.18361993049114858,93.77448361823362,0.18361993049114858,0.0,0.4274988907814026,86.58,0.00025
40,0.17848895322478395,93.98148148148148,0.17848895322478395,0.0,0.422289479970932,86.5,0.00025
41,0.1765293385780435,93.89245014245014,0.1765293385780435,0.0,0.47425757112503053,85.58,0.00025
42,0.16790883684599842,94.25302706552706,0.16790883684599842,0.0,0.4158696319580078,86.6,0.00025
43,0.16540985652099646,94.3420584045584,0.16540985652099646,0.0,0.46104035348892214,86.46,0.00025
44,0.15935020188023563,94.6380876068376,0.15935020188023563,0.0,0.44788341188430786,86.32,0.000125
45,0.13987000444718237,95.25462962962963,0.13987000444718237,0.0,0.4273559358596802,87.48,0.000125
46,0.12763419604072204,95.67085113960114,0.12763419604072204,0.0,0.41504811477661135,87.02,0.000125
47,0.12948397160680206,95.50391737891738,0.12948397160680206,0.0,0.41026757707595823,87.62,0.000125
48,0.12651436539244787,95.73539886039886,0.12651436539244787,0.0,0.42696282787323,87.28,0.000125
49,0.12073433369483023,95.93794515669515,0.12073433369483023,0.0,0.41739425382614137,87.62,0.000125
50,0.11935996544412059,95.94907407407408,0.11935996544412059,0.0,0.41556521096229554,87.76,0.000125
51,0.1182348917734589,96.0136217948718,0.1182348917734589,0.0,0.4278921395301819,87.34,0.000125
52,0.1143807154414151,96.10265313390313,0.1143807154414151,0.0,0.45205103578567507,86.94,0.000125
53,0.11263930167143162,96.21171652421653,0.11263930167143162,0.0,0.4606724413871765,86.68,6.25e-05
54,0.10132028001686956,96.6880341880342,0.10132028001686956,0.0,0.4159776054382324,87.7,6.25e-05
55,0.09804344621415322,96.73922720797721,0.09804344621415322,0.0,0.418012890625,87.88,6.25e-05
56,0.09660923722972217,96.79932336182337,0.09660923722972217,0.0,0.4251140284538269,87.62,6.25e-05
57,0.09594938024199247,96.81712962962963,0.09594938024199247,0.0,0.41624825086593625,87.72,6.25e-05
58,0.0929901527713167,96.875,0.0929901527713167,0.0,0.42714952268600465,87.72,6.25e-05
59,0.09247348995141663,97.04861111111111,0.09247348995141663,0.0,0.4262434030532837,87.72,3.125e-05
60,0.08727335325439602,97.11761039886039,0.08727335325439602,0.0,0.42320930824279784,88.16,3.125e-05
61,0.08667685892273727,97.23335113960114,0.08667685892273727,0.0,0.4264326956748962,87.66,3.125e-05
62,0.0826648680753263,97.32683404558405,0.0826648680753263,0.0,0.4268150541305542,87.96,3.125e-05
63,0.08252028783417156,97.27786680911682,0.08252028783417156,0.0,0.42827548475265503,87.92,3.125e-05
64,0.08545283707882943,97.18660968660969,0.08545283707882943,0.0,0.42616373386383055,87.8,3.125e-05
65,0.08088926162220474,97.37580128205128,0.08088926162220474,0.0,0.4266339769363403,88.04,1.5625e-05
66,0.0792775463652492,97.45370370370371,0.0792775463652492,0.0,0.4238766569137573,88.16,1.5625e-05
67,0.07654971728085452,97.49154202279202,0.07654971728085452,0.0,0.4307120806694031,87.82,1.5625e-05
68,0.0779731907481142,97.52715455840456,0.0779731907481142,0.0,0.43184392976760866,87.84,1.5625e-05
69,0.07960953339509814,97.42254273504274,0.07960953339509814,0.0,0.4255863939285278,87.86,1.5625e-05
70,0.07797471038530185,97.44702635327636,0.07797471038530185,0.0,0.43028311548233034,87.86,1.5625e-05
71,0.07915871351044572,97.43589743589743,0.07915871351044572,0.0,0.42932262086868284,88.02,7.8125e-06
72,0.07542469322766333,97.62731481481481,0.07542469322766333,0.0,0.42625487184524535,87.74,7.8125e-06
73,0.07470570442046535,97.61173433048432,0.07470570442046535,0.0,0.43184161138534544,87.5,7.8125e-06
74,0.07357208967272542,97.64734686609687,0.07357208967272542,0.0,0.426673655128479,88.02,7.8125e-06
75,0.07354961710841397,97.69186253561253,0.07354961710841397,0.0,0.4337166479110718,87.82,7.8125e-06
76,0.07384847722777783,97.63399216524216,0.07384847722777783,0.0,0.43035093746185304,87.9,7.8125e-06
