epoch,train_loss,train_acc,ce_loss,orth_loss,coop_loss,aux_loss,val_loss,val_acc,lr
1,2.9818851934199317,42.857460826210826,1.5230058421436539,0.0,0.036366001153603576,4.875052979189446,2.269757490158081,39.56,0.001
2,2.3043068205868757,58.59597578347579,1.1501159836084416,0.0,0.027461668025394452,3.856456495757796,1.05282308177948,61.34,0.001
3,2.0150641943314818,64.46091524216524,0.9910914750180693,0.0,0.02804836503460876,3.4225917154567536,0.9870206502914429,64.5,0.001
4,1.830658558427099,68.67654914529915,0.8893790391096023,0.0,0.03163611226611667,3.148143621591421,0.8703992070198059,69.38,0.001
5,1.6955025012676532,71.25178062678063,0.8147546273690683,0.0,0.03715448467819779,2.9482109736852835,0.9689006497383118,68.4,0.001
6,1.60035679788671,72.97231125356126,0.7640482973509025,0.0,0.033981151220805285,2.7990219423234293,0.8095084169387817,71.68,0.001
7,1.5218502775556342,74.59935897435898,0.7201556913193814,0.0,0.03863276868124633,2.6851927636355755,0.8369313474655151,70.22,0.001
8,1.4436080724085838,76.41782407407408,0.6753788634582802,0.0,0.042230039834976196,2.574840597956948,0.7378178220748901,74.5,0.001
9,1.3797738164918036,77.9380341880342,0.6389563400351423,0.0,0.04388547325745607,2.484019981490241,0.8361162835121155,71.44,0.001
10,1.3288271077338107,78.78828347578347,0.6100341421246869,0.0,0.046380944741077915,2.4114367798862295,1.049724638748169,66.36,0.001
11,1.2809570764544342,79.90785256410257,0.5832597515691719,0.0,0.049985170619100586,2.342319396146682,0.6669538918495178,78.3,0.001
12,1.2322544632134613,80.94284188034187,0.5572257412974312,0.0,0.0524543028781217,2.2675804202033585,0.6893439226150513,77.14,0.001
13,1.1988062281214613,81.28783831908832,0.5387820747503188,0.0,0.049888304241022835,2.2167098698792636,0.6997464116096497,76.88,0.001
14,1.1517253771127118,82.38292378917379,0.5098051435587413,0.0,0.05954722257760855,2.159583110415358,0.6288651361465454,78.82,0.001
15,1.124407388206221,82.84588675213675,0.4960163087926359,0.0,0.05793619155883789,2.1139489150794484,0.64393848361969,79.28,0.001
16,1.1011376489601243,83.39788105413105,0.48402222371169307,0.0,0.05828782678329707,2.0764806182296187,0.5458814506530761,81.04,0.001
17,1.0762861569722493,83.70726495726495,0.4707000508607283,0.0,0.05913255128086123,2.03833111500808,0.5865678005218505,80.28,0.001
18,1.0503778359149596,84.37277421652422,0.45513237044852006,0.0,0.06311329244038998,2.0051892296201483,0.669469364452362,78.14,0.001
19,1.022221145127234,84.77564102564102,0.43988698712441315,0.0,0.061590933646911226,1.9616441006674046,0.5829740402221679,80.0,0.001
20,0.9961429345302093,85.34099002849003,0.42493549914781187,0.0,0.06736344481125855,1.9264791792953795,0.5526106551170349,81.74,0.001
21,0.9715874940581471,85.83511396011396,0.4100341638523629,0.0,0.06975956218704539,1.8950975566168455,0.5808830806732178,81.28,0.001
22,0.9570555072224718,86.14449786324786,0.40281929428081564,0.0,0.0695752566866046,1.8706457210741831,0.6553020232200623,79.2,0.0005
23,0.8444627547196174,88.37028133903134,0.3375038291908737,0.0,0.08073977574154183,1.7167762837179026,0.48598761644363403,83.72,0.0005
24,0.8103314682289406,89.278400997151,0.31680878873734053,0.0,0.08505294885900286,1.6734265089035034,0.4622588291168213,85.16,0.0005
25,0.7918823858951232,89.41194800569801,0.30579037136501735,0.0,0.08821890968033391,1.6497129422646981,0.4858635692596436,84.82,0.0005
26,0.7858762771655352,89.47204415954415,0.30417039676269575,0.0,0.08576154212156932,1.634273379616588,0.47402974009513854,85.06,0.0005
27,0.7686164308647145,89.80591168091168,0.29327902779450105,0.0,0.08563438002709989,1.613002736004669,0.46561494455337527,85.34,0.0005
28,0.7586215544290352,90.06187678062678,0.2873685873217053,0.0,0.08903263755503543,1.6005207089617042,0.42161376962661745,86.3,0.0005
29,0.746502299594064,90.24216524216524,0.2814489091053987,0.0,0.08798177357752439,1.5795051640594786,0.4659648681640625,85.56,0.0005
30,0.7356003286831739,90.58048433048432,0.2734736648634968,0.0,0.09348002394549867,1.5715821658783828,0.4494661697387695,86.12,0.0005
31,0.7317075251344263,90.56267806267806,0.2738495707893983,0.0,0.08834677467658648,1.5556420420649384,0.6026167114257812,82.52,0.0005
32,0.7165180260469431,90.82754629629629,0.26440383549089785,0.0,0.09163619730717097,1.5375926311199481,0.4401853525161743,85.66,0.0005
33,0.7035458496323338,91.11244658119658,0.25639808496348876,0.0,0.09383285325816554,1.5217700969120036,0.5270136157989502,83.46,0.0005
34,0.6964590835605252,91.23263888888889,0.2524262039028002,0.0,0.09259424256718057,1.5109742767790444,0.5345296653032303,83.68,0.00025
